1997-08-20T00:00:00-08:00,The Culture of Perl,Larry Wall,perl.com/pub/1997/wall/keynote.html,community,culture
1998-03-10T00:00:00-08:00,Perl Support for XML Developing,Dale Dougherty,perl.com/pub/1998/06/perl-xml.html,data,xml
1998-06-03T00:00:00-08:00,MacPerl Gains Ground,perldotcom,perl.com/pub/1998/06/macperl.html,Mac,"macperl,mac"
1998-07-22T00:00:00-08:00,Perl Builder IDE Debuts,Brent Michalski,perl.com/pub/1998/07/review.html,Tooling,"ide,windows"
1998-07-22T00:00:00-08:00,How Perl Creates Orders For The Air Force,Brent Michalski,perl.com/pub/1998/07/rwperl.html,community,"usaf,military"
1998-08-18T00:00:00-08:00,Day 1 Highlights: Lincoln's Cool Tricks and Regexp,Brent Michalski,perl.com/pub/1998/08/show/day1.html,community,"regex,tpc"
1998-08-19T00:00:00-08:00,Day 2: Perl Mongers at The Conference,Brent Michalski,perl.com/pub/1998/08/show/day2.html,Community,"Perl-mongers,tpc"
1998-08-20T00:00:00-08:00,Day 3: Core Perl Developers at Work and Play,Brent Michalski,perl.com/pub/1998/08/show/day3.html,Community,"perlguts,tpc"
1998-08-21T00:00:00-08:00,The Final Day at The Perl Conference,Brent Michalski,perl.com/pub/1998/08/show/day4.html,Community,tpc
1998-08-25T00:00:00-08:00,2nd State of the Onion,Larry Wall,perl.com/pub/1998/08/show/onion.html,community,state-of-the-onion
1998-08-26T00:00:00-08:00,Perl's Prospects Are Brighter Than Ever,Jon Udell,perl.com/pub/1998/08/show/udell.html,community,
1998-08-27T00:00:00-08:00,A Photographic Journal,Joseph F. Ryan,perl.com/pub/1998/08/show/perl-photos.html,Community,photos
1998-10-21T00:00:00-08:00,Perl Rescues a Major Corporation,Brent Michalski,perl.com/pub/1998/10/brent.html,community,business
1998-11-17T00:00:00-08:00,A Zero Cost Solution,Sam Schulte,perl.com/pub/1998/11/article.html,Windows,"Task-management,windows"
1998-11-25T00:00:00-08:00,XML::Parser Module Enables XML Development in Perl,perldotcom,perl.com/pub/1998/11/xml.html,data,"xml,xml-parser"
1999-01-03T00:00:00-08:00,Y2K Compliance,Tom Christiansen,perl.com/pub/1999/01/y2k.html,security,y2k
1999-01-13T00:00:00-08:00,What the Heck is a Perl Monger?!,Brent Michalski,perl.com/pub/1999/01/foy.html,Community,perl-mongers
1999-01-19T00:00:00-08:00,Success in Migrating from C to Perl,Kim Ryan,perl.com/pub/1999/01/kr-perl.html,development,c
1999-03-09T00:00:00-08:00,"Perl, the first postmodern computer language",Larry Wall,perl.com/pub/1999/03/pm.html,community,"linux,programming-languages"
1999-06-09T00:00:00-08:00,Microsoft to Fund Perl Development,Dale Dougherty,perl.com/pub/1999/06/activestate.html,community,"activestate,microsoft,windows"
1999-06-28T00:00:00-08:00,White Camel Awards to be Presented at O'Reilly's Perl Conference 3.0,perldotcom,perl.com/pub/1999/06/whitecamel.html,community,"awards,o-reilly,perl,perl-conference,perl-mongers,white-camel"
