05/07/2008,"Beginner's Introduction to Perl 5.10, Part 2","chromatic, Doug Sheppard",/2008/05/07/beginners-introduction-to-perl-510-part-2.html,Final,Tutorials,"Perl 5.10, string, files, Perl filehandles."
04/23/2008,A Beginner's Introduction to Perl 5.10,"chromatic, Doug Sheppard",/2008/04/23/a-beginners-introduction-to-perl-510.html,Final,Tutorials,"Perl 5.10, novice programmers, Perl tutorial, Perl for beginners."
04/08/2008,Using Amazon S3 from Perl,Abel Lin,/2008/04/08/using-amazon-s3-from-perl.html,Final,Web Development,"S3, Amazon, web services, REST, cloud storage."
03/14/2008,Reverse Callback Templating,James Robson,/2008/03/14/reverse-callback-templating.html,Final,"Text Tools, Web Development","Template::Recall, templating, MVC, presentation."
02/13/2008,Elements of Access Control,Vladi Belperchinov-Shabanski,/2008/02/13/elements-of-access-control.html,Final,Security,"Access control, privacy, security, software development"
01/18/2008,How to Tell Your Perl Story (at OSCON),brian d foy,/2008/01/18/how-to-tell-your-perl-story.html,Final,Courses and Training,"OSCON, brian d foy, Perl Conference, lightning talks, conference sessions, conference."
12/21/2007,Memories of 20 Years of Perl,chromatic,/2007/12/21/20-years-of-perl.html,Final,Advocacy,"Perl, anniversary, programming stories, memories"
12/06/2007,"Programming is Hard, Let's Go Scripting...",Larry Wall,/2007/12/06/soto-11.html,Final,Larry Wall,"Larry Wall, Perl 5, Perl 6, scripting, worse is better, language design, programming languages, scripting languages, state of the onion."
09/21/2007,PDF Processing with Perl,Detlef Groth,/2007/09/20/pdf-processing-with-perl.html,Final,CPAN,"PDF, PDF::Reuse, PDF create, creating PDFs."
08/07/2007,Making Perl Reusable with Modules,Andy Sylvester,/2007/08/09/making-perl-modules.html,Final,"CPAN, Modules","Modules, CPAN, packaging, Perl reuse, Perl code, Perl distribution."
07/12/2007,Option and Configuration Processing Made Easy,Jon Allen,/2007/07/12/options-and-configuration.html,Final,"CPAN, Modules","Getopt::Long, Getopt::Argvfile, getopt, argument processing, CLI, configuration files."
06/07/2007,Better Code Through Destruction,Igor Gariev,/2007/06/07/better-code-through-destruction.html,Final,"CPAN, Modules","RAII, Object::Destructor, reference counting, Perl memory leaks, Perl memory management."
05/10/2007,Everyday Perl 6,Jonathan Scott Duff,/2007/05/10/everyday-perl-6.html,Final,Perl 6,"Perl 6, Pugs, Perl 5, Parrot."
04/12/2007,Lightning Strikes Four Times,"Shlomi Fish, brian d foy, Bob Free, Mike Friedman",/2007/04/12/lightning-four.html,Final,"C and Perl, CPAN, Games, Graphics, Modules","OpenGL, GLUT, AOP, cross-cutting concerns, subroutine attributes, test counts, Test::Count, POGL."
03/01/2007,The Beauty of Perl 6 Parameter Passing,Phil Crow,/2007/03/01/perl-6-parameter-passing.html,Final,Perl 6,"Perl 6, Pugs, Parrot, subroutines, parameter passing, Perl, synopses, exegeses"
02/01/2007,Advanced HTML::Template: Widgets,Philipp Janert,/2007/02/02/htmltemplate-widgets.html,Final,"Web Development, Web/CGI","HTML::Template, widgets, HTML templating, Perl templating, web templates"
01/11/2007,Painless Windows Module Installation with PPM,Josh Stroschein,/2007/01/11/painless-ppm.html,Final,Win32,"PPM, CPAN, Perl Windows, ActiveState Perl, PPM repositories, PPM installation"
12/21/2006,Using Java Classes in Perl,Andrew Hanenkamp,/2006/12/21/using-java-classes.html,Final,Java,"JCR, Inline::Java, Java classes, Perl bindings, Java bindings."
11/30/2006,Advanced HTML::Template: Filters,Philipp Janert,/2006/11/30/html-template-filters.html,Final,"Web Development, Web/CGI","HTML::Template, filters, HTML templating, Perl templating."
11/02/2006,Hash Crash Course,Simon Cozens,/2006/11/02/all-about-hashes.html,Final,,"Hashes, hash tables, Perl data structures, Perl patterns, Perl variables, Perl syntax."
10/19/2006,Rapid Website Development with CGI::Application,Mark Stosberg,/2006/10/19/cgi_application.html,Final,Web/CGI,"CGI::Application, Perl frameworks, Perl web applications, web development."
09/21/2006,The State of the Onion 10,Larry Wall,/2006/09/21/onion.html,Final,"Advocacy, Larry Wall, Open Source, Perl 6","State of the Onion, Perl status, Perl 6, Perl 5, Perl 6 on Perl 5, Perl humor, Larryisms."
08/03/2006,Generating UML and Sequence Diagrams,Phil Crow,/2006/08/03/sequence-diagrams.html,Final,"Java, Objects","UML, sequence diagrams, diagramming code, Perl and Java, UML::Sequence."
07/13/2006,Still More Perl Lightning Articles,"chromatic, Phil Crow, Josh McAdams, Steven Schubiger",/2006/07/13/lightning-articles.html,Final,"CPAN, Installation, Java, User Interfaces","Perl lightning articles, Perl tricks, Java::Swing, Module::Build::Convert, Perl scripts, Perl modules, Test::MockObject::Extends, mock objects, Test::Class, refactoring tests, test organization."
06/01/2006,FEAR-less Site Scraping,Yung-chung Lin,/2006/06/01/fear-api.html,Final,Web/CGI,"Web scraping, web spiders, web robots, DSL, domain-specific languages, FEAR, FEAR::API."
05/04/2006,Charting Data at the Bottom of the World,Alex Gough,/2006/05/04/charting-data.html,Final,Graphics,"Charting, Graphing, Perl graphs, Chart module, Perl programming, Antarctic research, Antarctic Perl."
04/06/2006,Unraveling Code with the Debugger,Daniel Allen,/2006/04/06/debugger.html,Final,Debugging,"Perl debugger, debugging, Perl maintenance, maintenance coding, bug fixing, tracing."
03/02/2006,Using Ajax from Perl,Dominic Mitchell,/2006/03/02/ajax_and_perl.html,Final,Web Development,"Ajax, Perl, REST and Perl, CGI::Ajax, Perl web programming, Perl and JavaScript."
02/23/2006,Advanced Subroutine Techniques,Rob Kinyon,/2006/02/23/advanced_subroutines.html,Final,Tutorials,"Perl subroutines, Perl functions, Perl code reuse, Perl tutorial."
02/16/2006,Managing Rich Data Structures,Dave Baker,/2006/02/16/mldbm.html,Final,"CPAN, Data Structures","MLDBM, persistence, data persistence, references, nested data structures, DBM."
02/09/2006,Debugging and Profiling mod_perl Applications,Frank Wiles,/2006/02/09/debug_mod_perl.html,Final,mod_perl,"mod_perl, Apache::DB, Apache::DProf, Apache::SmallProf"
02/02/2006,Test-Driving X11 GUIs,George Nistorica,/2006/02/02/x11_gui_testing.html,Final,User Interfaces,"GUI testing, Perl testing, automated testing, X11 testing, GUI automation, Perl automation, X11::GUITest."
01/26/2006,More Advancements in Perl Programming,Simon Cozens,/2006/01/26/more_advanced_perl.html,Final,Modules,"Advanced Perl, Perl modules, OO Perl, Perl accessors, Perl parsing, HTML parsing, NLP, Natural Language Processing, Perl NLP, Perl events, POE, Perl testing, Perl NCI, Perl XS, Perl shared libraries."
01/19/2006,Analyzing HTML with Perl,Kendrew Lau,/2006/01/19/analyzing_html.html,Final,School,"Perl parsing, parsing HTML, Perl assignments, HTML assignments. Perl HTML."
